mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,n_rows,slowdown
Na5.mat,101,1e-06,10100,4234,82,109,9.487049290894076e-07,True,0.057039041,11.996757424679076,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,4507,53,284,9.475870934048846e-07,True,0.140833333,12.147417796459495,5832,2.8118811881188117
Na5.mat,101,1e-06,10100,5670,73,108,9.701965973126785e-07,True,0.055691625,11.490786843406427,5832,1.0693069306930694
Na5.mat,101,1e-06,10100,186,2,135,9.851281706422833e-07,True,0.070247042,12.196650202254034,5832,1.3366336633663367
Na5.mat,101,1e-06,10100,790,94,101,9.728253955810696e-07,True,0.055348792,11.723077074199324,5832,1.0
Na5.mat,101,1e-06,10100,2649,81,109,9.318432551909677e-07,True,0.060629042,11.904678163940494,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,2362,17,162,8.449554383534649e-07,True,0.0824175,11.988046905136885,5832,1.603960396039604
Na5.mat,101,1e-06,10100,5145,51,194,9.678893342592106e-07,True,0.09699,12.082016304784185,5832,1.9207920792079207
Na5.mat,101,1e-06,10100,2709,74,119,8.614360919331783e-07,True,0.060969041,12.002075241868923,5832,1.1782178217821782
Na5.mat,101,1e-06,10100,1774,99,101,9.458023706610843e-07,True,0.052805459,12.13869323567003,5832,1.0
Na5.mat,101,1e-06,10100,2296,88,102,9.368241581556002e-07,True,0.05326225,12.149135294859994,5832,1.00990099009901
Na5.mat,101,1e-06,10100,5137,50,168,8.606063090147452e-07,True,0.087303959,12.154741544462999,5832,1.6633663366336633
Na5.mat,101,1e-06,10100,4344,86,102,8.953693822625439e-07,True,0.053406125,11.645268008821718,5832,1.00990099009901
Na5.mat,101,1e-06,10100,4334,9,130,9.378853631285215e-07,True,0.066556417,11.902121414817332,5832,1.2871287128712872
Na5.mat,101,1e-06,10100,5700,51,184,7.586013005444023e-07,True,0.097901458,11.767236344188099,5832,1.8217821782178218
Na5.mat,101,1e-06,10100,2628,41,157,9.77244655157168e-07,True,0.081881125,11.913105735997117,5832,1.5544554455445545
Na5.mat,101,1e-06,10100,5075,67,109,8.865022246886247e-07,True,0.06480425,12.155605461946521,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,3421,65,129,8.678330963599559e-07,True,0.067988917,11.944798579517103,5832,1.2772277227722773
Na5.mat,101,1e-06,10100,218,73,119,7.047700441366387e-07,True,0.065370458,12.103150142276832,5832,1.1782178217821782
Na5.mat,101,1e-06,10100,2981,45,129,9.140292816873277e-07,True,0.070820833,12.16127924530497,5832,1.2772277227722773
Na5.mat,101,1e-06,10100,5557,22,180,8.996967504889867e-07,True,0.093640167,12.022559040934267,5832,1.7821782178217822
Na5.mat,101,1e-06,10100,3191,62,128,9.762348030204008e-07,True,0.067793458,11.952751666190544,5832,1.2673267326732673
Na5.mat,101,1e-06,10100,5672,31,146,9.174211726339912e-07,True,0.079280625,11.687554210533753,5832,1.4455445544554455
Na5.mat,101,1e-06,10100,3821,97,101,9.66455518082488e-07,True,0.052338375,12.048806544672596,5832,1.0
Na5.mat,101,1e-06,10100,2524,7,130,8.444790010764817e-07,True,0.066382708,11.773955054678549,5832,1.2871287128712872
Na5.mat,101,1e-06,10100,2926,51,194,9.225575891398797e-07,True,0.097205,11.973644832167887,5832,1.9207920792079207
Na5.mat,101,1e-06,10100,1876,33,170,9.437574926983456e-07,True,0.087793917,11.971083094291544,5832,1.683168316831683
Na5.mat,101,1e-06,10100,1842,96,101,9.766963809632074e-07,True,0.052007709,11.869816387429797,5832,1.0
Na5.mat,101,1e-06,10100,1607,15,138,8.829237794458375e-07,True,0.0743585,11.97628699631897,5832,1.3663366336633664
Na5.mat,101,1e-06,10100,3745,31,155,8.020091218620174e-07,True,0.079514709,11.911961647207272,5832,1.5346534653465347
Na5.mat,101,1e-06,10100,4059,41,158,8.259715651519546e-07,True,0.079984125,12.11055868396483,5832,1.5643564356435644
Na5.mat,101,1e-06,10100,691,21,168,9.897997837190503e-07,True,0.087013291,12.213963521763834,5832,1.6633663366336633
Na5.mat,101,1e-06,10100,5704,40,287,9.71516930445388e-07,True,0.146629542,11.829742265393191,5832,2.8415841584158414
Na5.mat,101,1e-06,10100,3126,18,180,8.387357149923591e-07,True,0.092473208,11.971717235194694,5832,1.7821782178217822
Na5.mat,101,1e-06,10100,2364,47,146,7.961024012608406e-07,True,0.076352292,12.02296508691794,5832,1.4455445544554455
Na5.mat,101,1e-06,10100,5675,65,119,8.434775581248947e-07,True,0.061127833,11.695322679327502,5832,1.1782178217821782
Na5.mat,101,1e-06,10100,1500,71,119,7.35924989633135e-07,True,0.061112541,12.060421823707635,5832,1.1782178217821782
Na5.mat,101,1e-06,10100,393,11,123,9.866595255438867e-07,True,0.063732042,11.849332645995373,5832,1.2178217821782178
Na5.mat,101,1e-06,10100,3628,34,151,8.021046559041893e-07,True,0.0768215,12.17799299110753,5832,1.495049504950495
Na5.mat,101,1e-06,10100,1731,66,120,9.543967167589412e-07,True,0.062611167,12.030930080630366,5832,1.188118811881188
Na5.mat,101,1e-06,10100,4026,47,147,8.462543235278817e-07,True,0.074682875,12.112042260204415,5832,1.4554455445544554
Na5.mat,101,1e-06,10100,738,29,145,8.246586745105048e-07,True,0.07444875,11.858498873032431,5832,1.4356435643564356
Na5.mat,101,1e-06,10100,2643,83,109,9.407143856521416e-07,True,0.059356666,11.927860586959133,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,1188,66,119,9.636933596056766e-07,True,0.062143333,12.108522945107792,5832,1.1782178217821782
Na5.mat,101,1e-06,10100,4449,12,124,9.515769353727519e-07,True,0.063922416,12.140483131515316,5832,1.2277227722772277
Na5.mat,101,1e-06,10100,4237,89,102,9.414227184381509e-07,True,0.055329583,11.949061162156525,5832,1.00990099009901
Na5.mat,101,1e-06,10100,1775,31,147,8.152221224562291e-07,True,0.077099041,12.133982863929502,5832,1.4554455445544554
Na5.mat,101,1e-06,10100,1555,35,174,8.493994349073665e-07,True,0.0874315,12.182680151306748,5832,1.7227722772277227
Na5.mat,101,1e-06,10100,3827,53,315,9.564250178536731e-07,True,0.157976709,11.915923328014571,5832,3.118811881188119
Na5.mat,101,1e-06,10100,5317,82,103,9.346045284165659e-07,True,0.055416667,12.0569576778024,5832,1.0198019801980198
Na5.mat,101,1e-06,10100,1379,49,161,8.421953118040668e-07,True,0.098006083,12.009560823152535,5832,1.5940594059405941
Na5.mat,101,1e-06,10100,4049,0,130,8.679967221468929e-07,True,0.078488625,12.123755641157247,5832,1.2871287128712872
Na5.mat,101,1e-06,10100,3695,74,109,9.055865506168663e-07,True,0.066949917,11.95222517748055,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,5007,19,195,7.803123878623869e-07,True,0.101189625,12.166607198638799,5832,1.9306930693069306
Na5.mat,101,1e-06,10100,28,46,140,9.770827906582998e-07,True,0.072072125,11.873145972558337,5832,1.386138613861386
Na5.mat,101,1e-06,10100,2855,78,109,9.387277574603367e-07,True,0.059107417,11.95765416860018,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,4719,97,101,9.608531873570296e-07,True,0.05607125,12.120905734191878,5832,1.0
Na5.mat,101,1e-06,10100,4752,91,102,8.56772636182522e-07,True,0.054026292,11.597721833431885,5832,1.00990099009901
Na5.mat,101,1e-06,10100,2980,36,160,9.561656812201544e-07,True,0.098915542,12.092266216396874,5832,1.5841584158415842
Na5.mat,101,1e-06,10100,2288,3,135,9.88645624557756e-07,True,0.095511458,11.839679509094466,5832,1.3366336633663367
Na5.mat,101,1e-06,10100,2626,9,137,7.766590148366227e-07,True,0.073933917,11.938734695565387,5832,1.3564356435643565
Na5.mat,101,1e-06,10100,1222,29,153,7.931845977104776e-07,True,0.081395125,12.011379776034774,5832,1.5148514851485149
Na5.mat,101,1e-06,10100,2342,36,160,8.683665833263964e-07,True,0.084530334,12.107095606787091,5832,1.5841584158415842
Na5.mat,101,1e-06,10100,379,71,119,7.669129320586586e-07,True,0.066228375,11.567489622375545,5832,1.1782178217821782
Na5.mat,101,1e-06,10100,4545,34,151,8.64351884277942e-07,True,0.079530667,12.139331058392221,5832,1.495049504950495
Na5.mat,101,1e-06,10100,4545,92,102,8.681037321794492e-07,True,0.054865208,12.139331058392221,5832,1.00990099009901
Na5.mat,101,1e-06,10100,1263,10,130,9.642697954138855e-07,True,0.070146458,11.9484299546283,5832,1.2871287128712872
Na5.mat,101,1e-06,10100,427,32,147,9.932955252085317e-07,True,0.077442583,12.203868513607928,5832,1.4554455445544554
Na5.mat,101,1e-06,10100,5229,22,156,8.023128801046884e-07,True,0.083545541,12.128524346917962,5832,1.5445544554455446
Na5.mat,101,1e-06,10100,2292,48,141,9.263218464825686e-07,True,0.073287333,12.187269289295193,5832,1.396039603960396
Na5.mat,101,1e-06,10100,1226,79,109,9.457186519504673e-07,True,0.057854958,11.962983272567518,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,2436,34,151,8.870087454752782e-07,True,0.077774625,12.112087275219302,5832,1.495049504950495
Na5.mat,101,1e-06,10100,2258,7,136,8.966779659129981e-07,True,0.068667375,11.959394279570601,5832,1.3465346534653466
Na5.mat,101,1e-06,10100,3121,37,202,8.546473362638352e-07,True,0.102038541,12.0796866628479,5832,2.0
Na5.mat,101,1e-06,10100,2468,52,691,9.995720290603473e-07,True,0.342173083,11.9127873133803,5832,6.841584158415841
Na5.mat,101,1e-06,10100,3707,36,183,8.075835221057776e-07,True,0.0933385,11.93816862870974,5832,1.811881188118812
Na5.mat,101,1e-06,10100,3519,12,138,9.74832223691408e-07,True,0.073620625,12.162708716437344,5832,1.3663366336633664
Na5.mat,101,1e-06,10100,634,4,135,9.958425915566716e-07,True,0.076217166,11.909928916650735,5832,1.3366336633663367
Na5.mat,101,1e-06,10100,3708,74,109,9.24661023362813e-07,True,0.060855959,11.778422214976889,5832,1.0792079207920793
Na5.mat,101,1e-06,10100,4472,30,146,9.132062405753305e-07,True,0.0755025,12.09011367856437,5832,1.4455445544554455
Na5.mat,101,1e-06,10100,2488,68,119,9.387979044921431e-07,True,0.061689083,12.06769088258594,5832,1.1782178217821782
Na5.mat,101,1e-06,10100,4415,35,138,9.55229187403549e-07,True,0.070674917,11.596364589433861,5832,1.3663366336633664
Na5.mat,101,1e-06,10100,4079,78,103,9.563928133022488e-07,True,0.053495375,11.960120404956186,5832,1.0198019801980198
Na5.mat,101,1e-06,10100,5237,33,149,8.608243867540557e-07,True,0.077125583,11.895286499450533,5832,1.4752475247524752
Na5.mat,101,1e-06,10100,4125,35,153,8.538426047139176e-07,True,0.078102042,11.831427215872496,5832,1.5148514851485149
Na5.mat,101,1e-06,10100,1383,60,129,8.040417236004325e-07,True,0.065928708,11.526084086631343,5832,1.2772277227722773
Na5.mat,101,1e-06,10100,770,80,102,8.669883771756975e-07,True,0.054023417,11.660390119716014,5832,1.00990099009901
Na5.mat,101,1e-06,10100,1424,59,130,8.72875767848591e-07,True,0.067312208,12.133090241067325,5832,1.2871287128712872
Na5.mat,101,1e-06,10100,2275,38,415,8.824054174032883e-07,True,0.205243458,11.9828640902778,5832,4.108910891089109
Na5.mat,101,1e-06,10100,1184,16,139,8.469042411540247e-07,True,0.07058325,11.92279714603175,5832,1.3762376237623761
Na5.mat,101,1e-06,10100,3235,23,170,7.558403020908498e-07,True,0.087383417,11.838675291614132,5832,1.683168316831683
Na5.mat,101,1e-06,10100,446,94,101,9.879910774749687e-07,True,0.054274666,11.976063215867965,5832,1.0
Na5.mat,101,1e-06,10100,1482,34,159,9.73031025848987e-07,True,0.084856625,11.988548181387287,5832,1.5742574257425743
