mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm
cbuckle.mat,341,1e-06,34100,11695,1,343,9.58292838115218e-07,True,0.232768833,528.5716971470786
cbuckle.mat,341,1e-06,34100,11695,85,370,9.504043114526788e-07,True,0.261692125,528.5716971470786
cbuckle.mat,341,1e-06,34100,11695,170,437,9.710607573566364e-07,True,0.296028042,528.5716971470786
cbuckle.mat,341,1e-06,34100,11695,255,412,9.743125764685757e-07,True,0.279332542,528.5716971470786
cbuckle.mat,341,1e-06,34100,11695,340,340,7.509300206690214e-07,True,0.232940042,528.5716971470786
cbuckle.mat,341,1e-06,34100,4572,1,1529,9.883173960000772e-07,True,1.022816208,35846.96555510606
cbuckle.mat,341,1e-06,34100,4572,85,8764,9.995119559230209e-07,True,5.813682667,35846.96555510606
cbuckle.mat,341,1e-06,34100,4572,170,34099,3.3929188202481047e-06,False,22.898323667,35846.96555510606
cbuckle.mat,341,1e-06,34100,4572,255,34099,0.00017787224805155017,False,22.616676792,35846.96555510606
cbuckle.mat,341,1e-06,34100,4572,340,6629,9.98992066177375e-07,True,4.392850458,35846.96555510606
cbuckle.mat,341,1e-06,34100,13188,1,467,9.632349917952078e-07,True,0.312221125,10726.741225855061
cbuckle.mat,341,1e-06,34100,13188,85,1386,9.92774970730813e-07,True,0.925115125,10726.741225855061
cbuckle.mat,341,1e-06,34100,13188,170,2858,9.985271578576998e-07,True,1.893695209,10726.741225855061
cbuckle.mat,341,1e-06,34100,13188,255,2392,9.951140434967245e-07,True,1.586028,10726.741225855061
cbuckle.mat,341,1e-06,34100,13188,340,944,9.918968402862903e-07,True,0.624060084,10726.741225855061
cbuckle.mat,341,1e-06,34100,8651,1,1147,9.925098481034286e-07,True,0.769915208,29270.74410391276
cbuckle.mat,341,1e-06,34100,8651,85,5847,9.987337419810492e-07,True,3.866428833,29270.74410391276
cbuckle.mat,341,1e-06,34100,8651,170,26881,9.99393474369944e-07,True,17.853396,29270.74410391276
cbuckle.mat,341,1e-06,34100,8651,255,20256,9.995385919431331e-07,True,13.369252833,29270.74410391276
cbuckle.mat,341,1e-06,34100,8651,340,5667,9.97550968948675e-07,True,3.7693455,29270.74410391276
cbuckle.mat,341,1e-06,34100,2050,1,341,9.90079536903974e-07,True,0.230647333,373.3691012558345
cbuckle.mat,341,1e-06,34100,2050,85,499,9.939188910602382e-07,True,0.341292417,373.3691012558345
cbuckle.mat,341,1e-06,34100,2050,170,757,9.872902608923792e-07,True,0.511267541,373.3691012558345
cbuckle.mat,341,1e-06,34100,2050,255,660,9.760814636656714e-07,True,0.441375917,373.3691012558345
cbuckle.mat,341,1e-06,34100,2050,340,340,8.895922981103739e-07,True,0.228651834,373.3691012558345
cbuckle.mat,341,1e-06,34100,2869,1,342,9.987757884303278e-07,True,0.234762958,528.5716971470669
cbuckle.mat,341,1e-06,34100,2869,85,370,9.438480301164657e-07,True,0.252170625,528.5716971470669
cbuckle.mat,341,1e-06,34100,2869,170,438,9.959658818931504e-07,True,0.296476,528.5716971470669
cbuckle.mat,341,1e-06,34100,2869,255,414,9.87701571419316e-07,True,0.276580916,528.5716971470669
cbuckle.mat,341,1e-06,34100,2869,340,340,7.584355511719435e-07,True,0.231007584,528.5716971470669
cbuckle.mat,341,1e-06,34100,13166,1,349,9.963951248328716e-07,True,0.235142042,27.12350471325456
cbuckle.mat,341,1e-06,34100,13166,85,342,9.815197778472338e-07,True,0.244029334,27.12350471325456
cbuckle.mat,341,1e-06,34100,13166,170,335,9.710301804998592e-07,True,0.225559666,27.12350471325456
cbuckle.mat,341,1e-06,34100,13166,255,335,9.745328979506595e-07,True,0.227672125,27.12350471325456
cbuckle.mat,341,1e-06,34100,13166,340,341,8.791180202326203e-07,True,0.229397666,27.12350471325456
cbuckle.mat,341,1e-06,34100,12539,1,1472,9.8374899215452e-07,True,0.982430292,33868.29346722958
cbuckle.mat,341,1e-06,34100,12539,85,7311,9.974230528466356e-07,True,4.89284225,33868.29346722958
cbuckle.mat,341,1e-06,34100,12539,170,15460,9.99900121694596e-07,True,10.290726458,33868.29346722958
cbuckle.mat,341,1e-06,34100,12539,255,34099,3.794367036473831e-06,False,22.6003665,33868.29346722958
cbuckle.mat,341,1e-06,34100,12539,340,3796,9.961718333823387e-07,True,2.517051167,33868.29346722958
cbuckle.mat,341,1e-06,34100,9703,1,342,9.858203630134723e-07,True,0.231527375,528.5716971470644
cbuckle.mat,341,1e-06,34100,9703,85,370,9.376523969238766e-07,True,0.260475875,528.5716971470644
cbuckle.mat,341,1e-06,34100,9703,170,436,9.797284020723415e-07,True,0.297027917,528.5716971470644
cbuckle.mat,341,1e-06,34100,9703,255,413,9.793817133389107e-07,True,0.276469042,528.5716971470644
cbuckle.mat,341,1e-06,34100,9703,340,340,7.494964468090055e-07,True,0.230250667,528.5716971470644
cbuckle.mat,341,1e-06,34100,7924,1,352,9.343338906117698e-07,True,0.237519959,376.9187457713634
cbuckle.mat,341,1e-06,34100,7924,85,500,9.33653048135833e-07,True,0.334529542,376.9187457713634
cbuckle.mat,341,1e-06,34100,7924,170,756,9.899739219137876e-07,True,0.501606334,376.9187457713634
cbuckle.mat,341,1e-06,34100,7924,255,659,9.76851816356199e-07,True,0.439936125,376.9187457713634
cbuckle.mat,341,1e-06,34100,7924,340,340,8.897569485289597e-07,True,0.229664041,376.9187457713634
