mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,n_rows,slowdown
ct20stif.mat,364,1e-06,36400,15545,310,1950,9.78793348638771e-07,True,4.180800208,2157806.0230851998,52329,5.357142857142857
ct20stif.mat,364,1e-06,36400,36054,68,1578,9.50810947312162e-07,True,10.235819166,1995203.937025715,52329,4.335164835164835
ct20stif.mat,364,1e-06,36400,37581,55,839,9.991048847652634e-07,True,4.621939791,1182882.509948394,52329,2.3049450549450547
ct20stif.mat,364,1e-06,36400,14523,92,2621,8.858781571884499e-07,True,5.87093725,6612304.290129623,52329,7.200549450549451
ct20stif.mat,364,1e-06,36400,4452,19,829,9.052684228185284e-07,True,1.780872875,913110.8863167459,52329,2.2774725274725274
ct20stif.mat,364,1e-06,36400,37162,167,576,9.556443810636782e-07,True,1.254632083,633008.6728427695,52329,1.5824175824175823
ct20stif.mat,364,1e-06,36400,1785,294,825,9.99525846162327e-07,True,1.786287875,2386980.9607117856,52329,2.2664835164835164
ct20stif.mat,364,1e-06,36400,10236,6,1061,9.252920155724477e-07,True,2.274673292,2304829.690584817,52329,2.9148351648351647
ct20stif.mat,364,1e-06,36400,22515,55,3705,9.364833205984184e-07,True,7.969005458,11974198.027040327,52329,10.178571428571429
ct20stif.mat,364,1e-06,36400,1750,169,1943,9.791290616353145e-07,True,4.1728155,11046441.157399425,52329,5.337912087912088
ct20stif.mat,364,1e-06,36400,13945,168,3438,9.086578593222405e-07,True,7.359937459,18358206.308393653,52329,9.445054945054945
ct20stif.mat,364,1e-06,36400,45073,114,849,7.920666728524975e-07,True,1.830169291,834540.741757304,52329,2.3324175824175826
ct20stif.mat,364,1e-06,36400,6203,261,1352,9.910625777122952e-07,True,2.92485475,1709389.592049089,52329,3.7142857142857144
ct20stif.mat,364,1e-06,36400,17183,326,723,9.899522430788818e-07,True,1.560748667,1437437.363228514,52329,1.9862637362637363
ct20stif.mat,364,1e-06,36400,18779,79,908,9.830705215263408e-07,True,1.965217958,1282027.4780732924,52329,2.4945054945054945
ct20stif.mat,364,1e-06,36400,3016,283,2623,9.703000916369623e-07,True,5.621778209,2714952.9719795077,52329,7.206043956043956
