mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,n_rows,slowdown
msc04515.mat,1883,1e-06,188300,3185,1859,1883,9.71378764780134e-07,True,0.464547559,1361253957.5167475,4515,1.0
msc04515.mat,1883,1e-06,188300,2373,538,6336,9.780148195056377e-07,True,1.557892085,12292577811.428326,4515,3.3648433351035583
msc04515.mat,1883,1e-06,188300,3028,1882,1932,9.557315290561813e-07,True,0.478136658,12292577811.428326,4515,1.0260223048327137
msc04515.mat,1883,1e-06,188300,292,1007,1925,9.838233306318996e-07,True,0.479406083,254724421.20770082,4515,1.0223048327137547
msc04515.mat,1883,1e-06,188300,3409,1276,1980,9.946737711292655e-07,True,0.488809645,1361341262.7081406,4515,1.0515135422198618
msc04515.mat,1883,1e-06,188300,2491,1669,1891,9.434484853271631e-07,True,0.468399019,141106381.42076886,4515,1.0042485395645246
msc04515.mat,1883,1e-06,188300,4182,1616,1889,9.407480519906919e-07,True,0.471717967,254714976.75419962,4515,1.0031864046733936
msc04515.mat,1883,1e-06,188300,2492,279,1928,9.759925216608527e-07,True,0.484522539,134270076.06575334,4515,1.0238980350504514
msc04515.mat,1883,1e-06,188300,4381,1564,1902,9.730444658378857e-07,True,0.469669321,247553138.3544199,4515,1.0100902814657462
msc04515.mat,1883,1e-06,188300,889,163,1975,9.91390138368974e-07,True,0.489892079,1361347322.7069414,4515,1.048858204992034
msc04515.mat,1883,1e-06,188300,1285,159,2095,9.79992281590661e-07,True,0.516407276,1361310904.5003219,4515,1.1125862984599044
msc04515.mat,1883,1e-06,188300,1369,718,2052,9.647637131712805e-07,True,0.505975507,1361347286.8379712,4515,1.089750398300584
msc04515.mat,1883,1e-06,188300,3149,88,1952,9.670737394813696e-07,True,0.48399371,1361328720.0579622,4515,1.0366436537440256
msc04515.mat,1883,1e-06,188300,1481,1679,1891,9.837194012852218e-07,True,0.466035854,254723489.9875273,4515,1.0042485395645246
msc04515.mat,1883,1e-06,188300,2677,1764,1884,8.7015687724141e-07,True,0.463158056,254720596.6834319,4515,1.0005310674455656
msc04515.mat,1883,1e-06,188300,4417,311,1937,9.64330330056417e-07,True,0.475904992,239834414.60745353,4515,1.0286776420605417
msc04515.mat,1883,1e-06,188300,3556,705,1921,9.767176166790325e-07,True,0.474391448,254714976.75419965,4515,1.0201805629314924
msc04515.mat,1883,1e-06,188300,4019,204,2171,9.70471118406159e-07,True,0.54186222,1361341262.7081409,4515,1.152947424322889
msc04515.mat,1883,1e-06,188300,2638,1137,7920,9.94960520761077e-07,True,1.949581246,12292856698.199371,4515,4.206054168879447
msc04515.mat,1883,1e-06,188300,4480,1678,1913,9.95413537384953e-07,True,0.469748716,1266620395.3494337,4515,1.0159320233669675
msc04515.mat,1883,1e-06,188300,907,1294,1922,9.921158756134288e-07,True,0.475478174,254737558.16894305,4515,1.0207116303770578
msc04515.mat,1883,1e-06,188300,4181,1572,1900,9.399528996976778e-07,True,0.474858329,254743181.05309156,4515,1.009028146574615
msc04515.mat,1883,1e-06,188300,4307,1744,1886,9.040468127756555e-07,True,0.464790888,254729078.91458178,4515,1.0015932023366967
msc04515.mat,1883,1e-06,188300,3225,1136,2207,9.999582946725275e-07,True,0.54322255,1361249368.9479697,4515,1.1720658523632501
msc04515.mat,1883,1e-06,188300,2458,92,2558,9.597108286243262e-07,True,0.629774547,12291933145.80073,4515,1.358470525756771
msc04515.mat,1883,1e-06,188300,1080,1392,2022,9.755232107016403e-07,True,0.496414698,1361328720.0579622,4515,1.0738183749336165
