mat_name,errorfree_iterations,tol,maxiter,error_pos,error_iter,solve_iterations,final_relres,did_converge,realtime_s,pos_2norm,n_rows,slowdown
s1rmq4m1.mat,605,1e-06,60500,3449,576,871,9.786070401913303e-07,True,0.205210042,119519.80565867218,5489,1.4396694214876034
s1rmq4m1.mat,605,1e-06,60500,632,374,617,9.314359391347181e-07,True,0.149986459,965.402667130091,5489,1.0198347107438017
s1rmq4m1.mat,605,1e-06,60500,2168,408,609,9.013094659170349e-07,True,0.144306667,977.6046111981019,5489,1.006611570247934
s1rmq4m1.mat,605,1e-06,60500,2422,133,7146,9.934816967185177e-07,True,1.709197083,317683.2082357502,5489,11.811570247933885
s1rmq4m1.mat,605,1e-06,60500,1331,181,4365,9.883347658284843e-07,True,1.026746334,143500.32655680753,5489,7.214876033057851
s1rmq4m1.mat,605,1e-06,60500,3182,220,618,9.153197706887405e-07,True,0.1473365,957.4687360701993,5489,1.0214876033057851
s1rmq4m1.mat,605,1e-06,60500,290,266,774,9.880659680921783e-07,True,0.185680875,960.5069695331135,5489,1.2793388429752066
s1rmq4m1.mat,605,1e-06,60500,1227,309,612,9.93592256670994e-07,True,0.147171334,978.1037505613527,5489,1.0115702479338844
s1rmq4m1.mat,605,1e-06,60500,5235,571,606,9.400824179460088e-07,True,0.143319584,944.7644638649438,5489,1.0016528925619834
s1rmq4m1.mat,605,1e-06,60500,4473,513,607,9.241037853835935e-07,True,0.143379666,978.9925088764237,5489,1.0033057851239668
s1rmq4m1.mat,605,1e-06,60500,2766,142,4754,9.933187769146217e-07,True,1.109962959,169402.70411302563,5489,7.857851239669421
s1rmq4m1.mat,605,1e-06,60500,4889,385,4404,9.92320103066187e-07,True,1.0437455,119519.8064972391,5489,7.279338842975206
s1rmq4m1.mat,605,1e-06,60500,5300,176,620,9.639655825840903e-07,True,0.149878542,917.551670130826,5489,1.024793388429752
s1rmq4m1.mat,605,1e-06,60500,4421,273,6457,9.908330306464446e-07,True,1.511435625,162621.8164344195,5489,10.672727272727272
